File,Database_Code,Category
ClathrateI_all_CollCode38190.cif,ICSD 38190,6c-16i-24k
ClathrateI_all_CollCode38201.cif,ICSD 38201,6c-16i-24k
ClathrateI_all_CollCode38202.cif,ICSD 38202,6c-16i-24k
ClathrateI_all_CollCode38203.cif,ICSD 38203,6c-16i-24k
ClathrateI_all_CollCode38214.cif,ICSD 38214,6c-16i-24k
ClathrateI_all_CollCode38216.cif,ICSD 38216,6c-16i-24k
ClathrateI_all_CollCode38224.cif,ICSD 38224,6c-16i-24k
ClathrateI_all_CollCode38227.cif,ICSD 38227,6c-16i-24k
ClathrateI_all_CollCode38230.cif,ICSD 38230,6c-16i-24k
ClathrateI_all_CollCode38234.cif,ICSD 38234,6c-16i-24k
ClathrateI_all_CollCode38240.cif,ICSD 38240,6c-16i-24k
ClathrateI_all_CollCode38241.cif,ICSD 38241,6c-16i-24k
ClathrateI_all_CollCode400448.cif,ICSD 400448,6c-16i-24k
ClathrateI_all_CollCode40562.cif,ICSD 40562,6c-16i-24k
ClathrateI_all_CollCode40563.cif,ICSD 40563,6c-16i-24k
ClathrateI_all_CollCode40564.cif,ICSD 40564,6c-16i-24k
ClathrateI_all_CollCode40565.cif,ICSD 40565,6c-16i-24k
ClathrateI_all_CollCode40566.cif,ICSD 40566,6c-16i-24k
ClathrateI_all_CollCode40567.cif,ICSD 40567,6c-16i-24k
ClathrateI_all_CollCode40912.cif,ICSD 40912,6c-16i-24k
ClathrateI_all_CollCode409247.cif,ICSD 409247,6c-16i-24k
ClathrateI_all_CollCode409249.cif,ICSD 409249,6c-16i-24k
ClathrateI_all_CollCode409251.cif,ICSD 409251,6c-16i-24k
ClathrateI_all_CollCode409253.cif,ICSD 409253,6c-16i-24k
ClathrateI_all_CollCode409254.cif,ICSD 409254,6c-16i-24k
ClathrateI_all_CollCode409255.cif,ICSD 409255,6c-16i-24k
ClathrateI_all_CollCode409258.cif,ICSD 409258,6c-16i-24k
ClathrateI_all_CollCode409259.cif,ICSD 409259,6c-16i-24k
ClathrateI_all_CollCode409367.cif,ICSD 409367,6c-16i-24k
ClathrateI_all_CollCode409448.cif,ICSD 409448,6c-16i-24k
ClathrateI_all_CollCode409469.cif,ICSD 409469,6c-16i-24k
ClathrateI_all_CollCode409604.cif,ICSD 409604,6c-16i-24k
ClathrateI_all_CollCode409614.cif,ICSD 409614,6c-16i-24k
ClathrateI_all_CollCode409615.cif,ICSD 409615,6c-16i-24k
ClathrateI_all_CollCode409616.cif,ICSD 409616,6c-16i-24k
ClathrateI_all_CollCode409912.cif,ICSD 409912,6c-16i-24k
ClathrateI_all_CollCode411062.cif,ICSD 411062,6c-16i-24k
ClathrateI_all_CollCode411063.cif,ICSD 411063,6c-16i-24k
ClathrateI_all_CollCode411923.cif,ICSD 411923,6c-16i-24k
ClathrateI_all_CollCode411925.cif,ICSD 411925,6c-16i-24k
ClathrateI_all_CollCode414081.cif,ICSD 414081,6c-16i-24k
ClathrateI_all_CollCode415563.cif,ICSD 415563,6c-16i-24k
ClathrateI_all_CollCode417501.cif,ICSD 417501,6c-16i-24k
ClathrateI_all_CollCode417502.cif,ICSD 417502,6c-16i-24k
ClathrateI_all_CollCode417939.cif,ICSD 417939,6c-16i-24k
ClathrateI_all_CollCode417940.cif,ICSD 417940,6c-16i-24k
ClathrateI_all_CollCode417941.cif,ICSD 417941,6c-16i-24k
ClathrateI_all_CollCode417970.cif,ICSD 417970,6c-16i-24k
ClathrateI_all_CollCode418007.cif,ICSD 418007,6c-16i-24k
